unnamed:_0,show_id,type,title,director,cast,date_added,release_year,rating,listed_in,description,budget,production_company_track_record,director_success,cast_popularity,genre_trend,release_season,marketing_budget,imdbrating,imdbvotes,duration_minutes,duration_seasons,main_cast,description_tokens,keywords,votes_log,rating_z,votes_z,popularity_score,popularity_zscore,popularity_cluster,popularity_kmeans,popularity
0,s1,0,dick johnson is dead,kirsten johnson,Nan,2021-09-25,2020,6,documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",115899167,88,57,24,trending,0,2.3371851126010514,7.4,7364.0,90.0,0.0,Nan,"['father', 'near', 'end', 'life,', 'filmmak', 'kirsten', 'johnson', 'stage', 'death', 'invent', 'comic', 'way', 'help', 'face', 'inevitable.']","['death', 'father', 'help', 'life', 'young']",8.90449432889673,0.9334163575251468,0.19591498387630502,0.5646656707007259,1,0,1,1
9,s10,0,the starling,theodore melfi,"Melissa Mccarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",2021-09-24,2021,6,"comedies, dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,144501488,74,95,94,trending,0,0.5928125419042238,6.4,15804.0,104.0,0.0,"Melissa Mccarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs","['woman', 'adjust', 'life', 'loss', 'contend', 'feisti', 'bird', ""that'"", 'taken', 'garden', '—', 'husband', ""who'"", 'struggl', 'find', 'way', 'forward.']","['struggling', 'way', 'woman', 'life', 'young']",9.668081624649718,0.07881952612509131,0.5339761719207888,0.3063978490229401,0,0,1,0
27,s28,0,grown ups,dennis dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2021-09-20,2010,6,comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",81147436,40,90,100,trending,0,-0.2584283264264842,6.0,293554.0,103.0,0.0,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider","['mourn', 'loss', 'belov', 'junior', 'high', 'basketbal', 'coach,', 'five', 'middle-ag', 'pal', 'reunit', 'lake', 'hous', 'rediscov', 'joy', 'kid.']","['house', 'high', 'help', 'film', 'finds']",12.58982029422072,-0.2630192064349312,1.8275105867602435,0.7822456901626561,1,0,1,0
28,s29,0,dark skies,scott stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",2021-09-19,2013,6,"horror movies, sci-fi & fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",72142369,71,97,100,stable,0,-0.1701452107488955,6.3,81301.0,97.0,0.0,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett","['family’', 'idyl', 'suburban', 'life', 'shatter', 'alien', 'forc', 'invad', 'home,', 'struggl', 'convinc', 'other', 'deadli', 'threat.']","['home', 'family', 'life', 'group', 'film']",11.305925895479323,-0.006640157014914706,1.259095072023104,0.6262274575040947,1,0,1,0
40,s41,1,he-man and the masters of the universe,nan,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",2021-09-16,2021,13,"kids' tv, tv sci-fi & fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,676835,57,46,94,declining,0,-1.1095191297627818,5.9,2324.0,0.0,1.0,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin","['mighti', 'teen', 'adam', 'heroic', 'squad', 'misfit', 'discov', 'legendari', 'power', 'grayskul', '—', 'destini', 'defend', 'eternia', 'sinist', 'skeletor.']","['teen', 'young', 'group', 'film', 'finds']",7.751475318021456,-0.3484788895749365,-0.31455838154289095,-0.3315186355589137,0,1,0,0
48,s49,0,training day,antoine fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",2021-09-16,2001,7,"dramas, thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,76988368,40,93,100,trending,0,1.03706227951726,7.8,492070.0,122.0,0.0,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin","['rooki', 'cop', 'one', 'day', 'prove', 'veteran', 'lapd', 'narcot', 'offic', 'receiv', 'crash', 'cours', ""mentor'"", 'question', 'brand', 'justice.']","['day', 'young', 'help', 'finds', 'follows']",13.106378294006001,1.2752550900851687,2.0562050819051505,1.6657300859951596,1,0,1,1
81,s82,0,kate,cedric nicolas-troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",2021-09-10,2021,7,action & adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",141794738,70,91,82,trending,0,2.810174506436127,6.3,73773.0,106.0,0.0,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi","['slip', 'fatal', 'poison', 'final', 'job,', 'ruthless', 'assassin', 'work', 'tokyo', 'less', '24', 'hour', 'find', 'order', 'hit', 'exact', 'revenge.']","['young', 'help', 'film', 'finds', 'follows']",11.208761644992062,-0.006640157014914706,1.2160777744097595,0.6047188086974224,1,0,1,0
96,s97,0,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",2021-09-07,2018,10,"documentaries, music & musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",14785912,43,47,72,trending,0,-1.0047352931870768,7.8,1679.0,97.0,0.0,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns","['use', 'interview', 'archiv', 'footage,', 'documentari', 'chart', 'stori', 'legendari', 'southern', 'rocker', 'focu', 'front', 'man', 'ronni', 'van', 'zant.']","['story', 'man', 'documentary', 'family', 'film']",7.426549072397305,1.2752550900851687,-0.45841220576637326,0.4084214421593977,0,0,1,0
97,s98,1,kid cosmic,nan,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",2021-09-07,2021,13,"kids' tv, tv comedies, tv sci-fi & fantasy",A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,4873890,46,58,95,trending,0,-1.0452271277297505,7.9,1835.0,0.0,2.0,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson","[""boy'"", 'superhero', 'dream', 'come', 'true', 'find', 'five', 'power', 'cosmic', 'stones.', 'save', 'day', 'harder', 'imagin', '—', ""can't"", 'alone.']","['boy', 'day', 'true', 'finds', 'young']",7.515344571180436,1.3607147732251748,-0.41909998569855994,0.4708073937633074,0,0,1,0
101,s102,0,untold: breaking point,"chapman way, maclain way",Nan,2021-09-07,2021,10,"documentaries, sports movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",145912496,79,56,33,trending,0,0.23709884075587548,7.6,3394.0,80.0,0.0,Nan,"['pressur', 'continu', 'win', 'tradit', 'american', 'tennis,', 'mardi', 'fish', 'face', 'mental', 'health', 'challeng', 'chang', 'life', 'court.']","['american', 'life', 'help', 'film', 'finds']",8.130059039992796,1.1043357238051574,-0.14694891038514246,0.4786934067100075,0,0,1,0
